epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3638.71,0.89837,0.57637,1.1334,0.94845,0.97171,0.98697,0.76888,0.95643,0.37332,1.23435,0.005842,0.005842,0.005842
44,3734.61,0.89788,0.57037,1.13424,0.95099,0.96729,0.98575,0.76982,0.95247,0.3708,1.23299,0.005743,0.005743,0.005743
45,3824.91,0.89201,0.57018,1.12832,0.94685,0.97138,0.98512,0.77063,0.95222,0.37145,1.23237,0.005644,0.005644,0.005644
46,3919.18,0.88569,0.55692,1.12719,0.94877,0.96908,0.98533,0.76904,0.95261,0.37061,1.23139,0.005545,0.005545,0.005545
47,4009.9,0.88387,0.55766,1.1262,0.94864,0.97147,0.98597,0.76954,0.95336,0.37056,1.23189,0.005446,0.005446,0.005446
48,4104.51,0.88601,0.55829,1.12888,0.95129,0.97245,0.98639,0.77054,0.95106,0.36743,1.23019,0.005347,0.005347,0.005347
49,4197.34,0.88178,0.55266,1.12689,0.94967,0.97514,0.98598,0.76878,0.95227,0.36586,1.23096,0.005248,0.005248,0.005248
50,4283.72,0.87082,0.54402,1.12015,0.95365,0.97342,0.98685,0.77141,0.95294,0.36567,1.23271,0.005149,0.005149,0.005149
51,4377.41,0.87222,0.54036,1.11964,0.9538,0.97364,0.98601,0.77013,0.95313,0.36238,1.23285,0.00505,0.00505,0.00505
52,4469.18,0.86782,0.53509,1.11807,0.95246,0.97707,0.98682,0.77255,0.95146,0.36199,1.23223,0.004951,0.004951,0.004951
53,4568.01,0.87034,0.53608,1.11965,0.95352,0.97617,0.9859,0.77153,0.95051,0.36222,1.23228,0.004852,0.004852,0.004852
54,4660.48,0.86084,0.53285,1.11678,0.95044,0.97456,0.9866,0.77167,0.9499,0.36182,1.23291,0.004753,0.004753,0.004753
55,4753.18,0.85921,0.52982,1.11591,0.95115,0.97306,0.98642,0.77123,0.94922,0.36103,1.23219,0.004654,0.004654,0.004654
56,4844.19,0.85481,0.51392,1.1103,0.95265,0.97279,0.98583,0.76959,0.94801,0.36089,1.23193,0.004555,0.004555,0.004555
57,4936.17,0.85426,0.52371,1.11126,0.9515,0.97161,0.98563,0.77115,0.94706,0.36009,1.23092,0.004456,0.004456,0.004456
58,5030.06,0.84766,0.51953,1.10965,0.95,0.96995,0.98561,0.77254,0.94651,0.36085,1.23067,0.004357,0.004357,0.004357
59,5120.54,0.8486,0.51346,1.11015,0.95111,0.96913,0.98564,0.77322,0.94633,0.36031,1.23063,0.004258,0.004258,0.004258
60,5207.77,0.84298,0.50598,1.10597,0.95284,0.96915,0.98575,0.77363,0.94511,0.35958,1.23002,0.004159,0.004159,0.004159
61,5304.36,0.83703,0.503,1.10492,0.95127,0.96905,0.98558,0.77307,0.9449,0.35965,1.23018,0.00406,0.00406,0.00406
62,5391.44,0.8367,0.5046,1.10162,0.95136,0.96866,0.98545,0.77356,0.945,0.35916,1.22998,0.003961,0.003961,0.003961
63,5487.57,0.83584,0.49661,1.10464,0.95039,0.9686,0.98555,0.77307,0.94464,0.35887,1.2299,0.003862,0.003862,0.003862
64,5578.05,0.82784,0.48906,1.0974,0.9492,0.96733,0.98511,0.77248,0.9448,0.35959,1.23007,0.003763,0.003763,0.003763
65,5666.88,0.82757,0.48915,1.09911,0.949,0.96712,0.9852,0.77391,0.94479,0.3596,1.23006,0.003664,0.003664,0.003664
66,5761.21,0.82176,0.48753,1.09666,0.94914,0.96702,0.98525,0.77515,0.94523,0.35923,1.23003,0.003565,0.003565,0.003565
67,5858.43,0.81827,0.48485,1.0946,0.94958,0.96677,0.98523,0.77524,0.94523,0.36025,1.23021,0.003466,0.003466,0.003466
68,5947.47,0.818,0.48246,1.09204,0.95022,0.96668,0.98534,0.7764,0.94483,0.35891,1.22981,0.003367,0.003367,0.003367
69,6040.09,0.81065,0.47549,1.09176,0.94994,0.96675,0.98519,0.77593,0.94474,0.35903,1.22977,0.003268,0.003268,0.003268
70,6134.96,0.81541,0.47351,1.09252,0.9497,0.96683,0.98515,0.77622,0.94487,0.35866,1.22956,0.003169,0.003169,0.003169
71,6219.78,0.80569,0.46806,1.08545,0.95037,0.9666,0.98473,0.77547,0.94431,0.35851,1.2293,0.00307,0.00307,0.00307
72,6317.54,0.79999,0.46587,1.08439,0.9502,0.96677,0.98476,0.77632,0.94461,0.35866,1.2295,0.002971,0.002971,0.002971
73,6406.65,0.79806,0.46335,1.08421,0.95028,0.96698,0.98481,0.77618,0.94466,0.3576,1.22958,0.002872,0.002872,0.002872
74,6494.69,0.79656,0.45616,1.08358,0.95041,0.96708,0.98474,0.77724,0.94415,0.3572,1.22926,0.002773,0.002773,0.002773
75,6588.9,0.79372,0.4509,1.07795,0.95008,0.96733,0.98475,0.77659,0.94454,0.35763,1.22984,0.002674,0.002674,0.002674
76,6673.07,0.78457,0.44727,1.07544,0.9499,0.96721,0.98525,0.77773,0.94396,0.35664,1.22981,0.002575,0.002575,0.002575
77,6764.46,0.78035,0.4446,1.07685,0.95031,0.96715,0.98537,0.77726,0.94364,0.35676,1.22983,0.002476,0.002476,0.002476
78,6857.3,0.78204,0.44178,1.07604,0.94744,0.96626,0.98499,0.77675,0.94365,0.35708,1.22981,0.002377,0.002377,0.002377
79,6947.83,0.77761,0.44067,1.07418,0.94736,0.96652,0.9853,0.77759,0.9438,0.35621,1.23015,0.002278,0.002278,0.002278
80,7035.14,0.77507,0.43619,1.07272,0.94768,0.96852,0.98541,0.77677,0.94364,0.35583,1.23,0.002179,0.002179,0.002179
81,7123.46,0.76941,0.43089,1.06876,0.94702,0.96775,0.98457,0.77581,0.94373,0.35618,1.23022,0.00208,0.00208,0.00208
82,7216.04,0.76797,0.4278,1.06848,0.94729,0.96787,0.98453,0.7757,0.94379,0.35601,1.23043,0.001981,0.001981,0.001981
83,7303.78,0.75924,0.42768,1.06379,0.94706,0.96798,0.9845,0.77568,0.94369,0.35614,1.23041,0.001882,0.001882,0.001882
84,7390.7,0.75594,0.42336,1.06255,0.94759,0.96783,0.98432,0.77515,0.94348,0.35593,1.23043,0.001783,0.001783,0.001783
85,7475.72,0.75406,0.41751,1.06433,0.9468,0.96825,0.98437,0.77626,0.94335,0.35571,1.2304,0.001684,0.001684,0.001684
86,7570.58,0.74772,0.41483,1.05839,0.94654,0.96841,0.98439,0.77614,0.94346,0.35579,1.23068,0.001585,0.001585,0.001585
87,7664.22,0.74221,0.41131,1.05614,0.94664,0.9686,0.98383,0.77644,0.94373,0.35541,1.23113,0.001486,0.001486,0.001486
88,7750.73,0.74083,0.4097,1.05567,0.94675,0.96931,0.98394,0.77698,0.94379,0.35546,1.23132,0.001387,0.001387,0.001387
89,7845.52,0.73321,0.4047,1.05348,0.94635,0.96938,0.98406,0.77632,0.94389,0.35473,1.23176,0.001288,0.001288,0.001288
90,7937.31,0.73549,0.40189,1.05484,0.94603,0.96942,0.98406,0.77565,0.94403,0.35406,1.23204,0.001189,0.001189,0.001189
91,8034.38,0.67999,0.30156,1.06813,0.94547,0.96942,0.984,0.77609,0.94395,0.3535,1.23235,0.00109,0.00109,0.00109
92,8124.18,0.66977,0.2942,1.06332,0.94398,0.96817,0.98306,0.77644,0.94386,0.35314,1.23251,0.000991,0.000991,0.000991
93,8212.96,0.66011,0.29023,1.0582,0.94397,0.96793,0.98303,0.77594,0.94379,0.35279,1.2329,0.000892,0.000892,0.000892
94,8301.91,0.65253,0.28602,1.04906,0.9449,0.96674,0.98279,0.7761,0.94396,0.35315,1.2335,0.000793,0.000793,0.000793
95,8394.81,0.64514,0.28301,1.04715,0.94474,0.96653,0.98261,0.77605,0.94409,0.353,1.23404,0.000694,0.000694,0.000694
96,8484.19,0.63922,0.27866,1.04191,0.94497,0.96624,0.98236,0.77557,0.94407,0.35287,1.23451,0.000595,0.000595,0.000595
97,8568.4,0.63273,0.27551,1.03659,0.94479,0.96616,0.98275,0.77602,0.94389,0.35236,1.23487,0.000496,0.000496,0.000496
98,8660.92,0.62813,0.27361,1.03565,0.94509,0.96564,0.98251,0.77586,0.9439,0.35232,1.23513,0.000397,0.000397,0.000397
99,8749.48,0.62027,0.26999,1.03114,0.94597,0.965,0.98254,0.77534,0.94375,0.35176,1.23564,0.000298,0.000298,0.000298
100,8840.59,0.61559,0.26704,1.02646,0.9458,0.96476,0.98251,0.77551,0.94363,0.35139,1.23585,0.000199,0.000199,0.000199
